ID,Neighborhood,Latitude,Longitude,Listing Type,Price,Available Days per Year,Host Listings Count
360,Highland,39.766414642333984,-105.0020980834961,Entire home/apt,91.0,179,2
364,Five Points,39.76672,-104.97906,Entire home/apt,179.0,358,1
590,North Park Hill,39.75511,-104.91109,Private room,59.0,146,2
592,North Park Hill,39.75481,-104.91106,Private room,58.0,210,2
1940,Baker,39.72020510811656,-104.99749898910522,Entire home/apt,77.0,243,1
21745,North Capitol Hill,39.7449,-104.97711,Private room,45.0,361,1
31503,West Highland,39.76179,-105.02845,Entire home/apt,99.0,357,1
39405,Highland,39.76605337851223,-105.00307815462764,Entire home/apt,124.0,166,2
90307,South Park Hill,39.7495,-104.93362,Private room,90.0,42,3
154999,CBD,39.74439,-104.98927,Entire home/apt,73.0,290,4
192430,South Park Hill,39.7435,-104.93753,Private room,36.0,177,1
364585,Washington Park West,39.69845,-104.98073,Entire home/apt,165.0,90,1
370209,Baker,39.7172,-104.99767,Private room,75.0,304,2
477016,City Park West,39.74348,-104.97089,Private room,56.0,143,1
504080,Clayton,39.76574,-104.95379,Entire home/apt,115.0,162,1
575758,Five Points,39.76561,-104.97945,Entire home/apt,200.0,365,1
632709,Highland,39.76468,-105.00883,Entire home/apt,143.0,173,1
676825,Stapleton,39.75706,-104.88374,Entire home/apt,213.0,110,1
715123,Platt Park,39.69381,-104.98364,Entire home/apt,140.0,28,1
732845,Five Points,39.759,-104.98106,Entire home/apt,513.0,251,1
746298,Lowry Field,39.72535,-104.89616,Private room,68.0,83,1
756594,South Park Hill,39.74027,-104.91516,Entire home/apt,75.0,346,1
761858,North Park Hill,39.75132,-104.93423,Private room,180.0,88,3
774712,City Park West,39.74245,-104.9681,Entire home/apt,53.0,291,6
776434,Platt Park,39.68403,-104.98296,Entire home/apt,200.0,325,3
785140,Sunnyside,39.78097,-105.01723,Entire home/apt,85.0,144,2
915016,Capitol Hill,39.73572,-104.97795,Entire home/apt,85.0,327,1
921485,Highland,39.75838,-105.01479,Entire home/apt,100.0,325,2
953052,Congress Park,39.7325,-104.94919,Entire home/apt,100.0,365,1
958612,CBD,39.74646,-104.99688,Entire home/apt,89.0,209,7
1041934,Berkeley,39.78027,-105.03808,Entire home/apt,165.0,365,4
1042331,Berkeley,39.77983,-105.03936,Entire home/apt,145.0,223,4
1087609,Capitol Hill,39.73442,-104.98344,Entire home/apt,86.0,184,2
1220547,CBD,39.74634,-104.99678,Entire home/apt,56.0,220,16
1223593,Cheesman Park,39.73704,-104.96965,Private room,60.0,225,3
1223612,Cheesman Park,39.73165,-104.97057,Private room,58.0,365,3
1288109,CBD,39.74634,-104.99678,Entire home/apt,58.0,213,16
1288126,CBD,39.74634,-104.99678,Entire home/apt,58.0,33,16
1309159,Capitol Hill,39.73444082066197,-104.98377035083136,Entire home/apt,64.0,333,2
1315816,CBD,39.74634,-104.99678,Entire home/apt,68.0,163,16
1327856,Capitol Hill,39.73484,-104.98193,Entire home/apt,125.0,11,1
1339536,CBD,39.74634,-104.99678,Entire home/apt,65.0,122,16
1339557,CBD,39.74634,-104.99678,Entire home/apt,68.0,107,16
1397309,CBD,39.74634,-104.99678,Entire home/apt,68.0,213,16
1402409,West Colfax,39.73995,-105.04053,Entire home/apt,260.0,145,1
1581384,West Highland,39.76779,-105.05005,Entire home/apt,120.0,84,5
1583103,Speer,39.72088,-104.98371,Entire home/apt,120.0,137,2
1594161,West Colfax,39.73723,-105.04561,Entire home/apt,140.0,178,1
1637744,South Park Hill,39.74446,-104.91113,Private room,80.0,363,1
1733052,Cheesman Park,39.73799,-104.97219,Private room,90.0,318,1
1737365,Highland,39.75901,-105.01541,Entire home/apt,99.0,333,2
1785877,Cheesman Park,39.7388,-104.96965,Private room,56.0,365,3
1792152,Congress Park,39.73377,-104.94866,Private room,78.0,364,2
1801950,CBD,39.74569,-104.99202,Entire home/apt,139.0,130,5
1908529,West Highland,39.76794,-105.04618,Entire home/apt,141.0,214,1
1959836,Clayton,39.76476,-104.95804,Private room,100.0,83,1
2104774,City Park West,39.74245,-104.9681,Entire home/apt,49.0,275,6
2119667,Lincoln Park,39.73499,-105.00108,Entire home/apt,258.0,365,1
2139342,Hilltop,39.72112,-104.91342,Entire home/apt,95.0,223,4
2232323,Country Club,39.72367,-104.96557,Entire home/apt,260.0,364,1
2235726,Union Station,39.75393,-104.99668,Entire home/apt,250.0,364,1
2239191,Clayton,39.76768,-104.9551,Entire home/apt,170.0,362,1
2243316,City Park West,39.74245,-104.9681,Entire home/apt,50.0,331,6
2361919,Berkeley,39.7796,-105.03859,Entire home/apt,70.0,358,4
2441900,City Park West,39.74296,-104.96941,Entire home/apt,70.0,365,1
2466830,Cory - Merrill,39.69062,-104.9548,Entire home/apt,300.0,363,1
2467260,City Park,39.74241,-104.95097,Entire home/apt,122.0,166,1
2487185,Athmar Park,39.7038,-105.0116,Entire home/apt,189.0,302,2
2599115,Stapleton,39.75778,-104.85861,Entire home/apt,204.0,358,1
2875696,Windsor,39.70705,-104.8916,Entire home/apt,80.0,365,1
2908978,Congress Park,39.73396,-104.94702,Private room,60.0,365,2
2957097,Athmar Park,39.70304,-105.01177,Entire home/apt,192.0,302,2
2960513,Baker,39.72287,-104.995,Entire home/apt,74.0,180,1
2975710,West Highland,39.75936,-105.04792,Entire home/apt,140.0,197,1
3150813,Cole,39.77101,-104.96639,Entire home/apt,300.0,364,1
3338717,Rosedale,39.67652,-104.97801,Entire home/apt,91.0,322,1
3341556,City Park West,39.74972,-104.97222,Entire home/apt,99.0,329,2
3458369,West Highland,39.76178,-105.03885,Entire home/apt,115.0,269,1
3463164,Fort Logan,39.64468,-105.0653,Private room,84.0,87,1
3542624,Lincoln Park,39.73248,-104.99906,Entire home/apt,133.0,328,1
3562277,University,39.6631,-104.96774,Private room,125.0,363,1
3605358,Capitol Hill,39.73308,-104.97996,Private room,115.0,364,1
3810191,Berkeley,39.77321,-105.02888,Entire home/apt,95.0,68,2
3829793,North Capitol Hill,39.74367,-104.97908,Entire home/apt,103.0,243,1
3891080,Five Points,39.75229,-104.97978,Entire home/apt,110.0,73,1
3960763,Platt Park,39.68769,-104.98715,Entire home/apt,148.0,202,1
4000181,Five Points,39.760994,-104.996796,Entire home/apt,96.0,364,2
4052272,Skyland,39.76146,-104.9503,Entire home/apt,105.0,230,1
4080404,Skyland,39.75546,-104.95573,Entire home/apt,306.0,168,1
4180622,Berkeley,39.77658,-105.04629,Entire home/apt,150.0,89,1
4191778,Baker,39.71909919084444,-104.99428554588272,Entire home/apt,74.0,365,1
4236002,North Park Hill,39.7524,-104.92175,Entire home/apt,126.0,178,1
4241536,West Highland,39.76387,-105.03138,Entire home/apt,100.0,305,1
4294257,Congress Park,39.73884825718342,-104.949571507518,Entire home/apt,96.0,51,1
4384783,Hale,39.73116,-104.93282,Entire home/apt,85.0,237,1
4545539,Baker,39.71749,-104.99085,Entire home/apt,81.0,159,1
4556956,Union Station,39.75695,-105.00419,Entire home/apt,350.0,263,1
4574082,Hilltop,39.72216,-104.90396,Entire home/apt,219.0,304,1
4581251,Capitol Hill,39.73483,-104.9757,Entire home/apt,73.0,134,1
4617226,Washington Virginia Vale,39.70648,-104.9293,Private room,111.0,79,2
4637460,Five Points,39.75415,-104.98173,Entire home/apt,144.0,260,1
4638352,West Highland,39.76902,-105.04846,Entire home/apt,102.0,236,1
4671545,City Park West,39.74245,-104.9681,Entire home/apt,43.0,347,6
4692668,Washington Park,39.70212,-104.97209,Entire home/apt,185.0,4,1
4718459,Speer,39.71826,-104.98406,Entire home/apt,71.0,364,2
4727890,Lincoln Park,39.72644,-104.9963,Entire home/apt,100.0,270,2
4753876,Five Points,39.7574,-104.98677,Entire home/apt,71.0,232,1
4951295,City Park West,39.74205,-104.96191,Entire home/apt,173.0,266,1
4964614,Capitol Hill,39.73377,-104.9807,Private room,115.0,348,1
5010213,Union Station,39.75351,-105.0037,Entire home/apt,122.0,179,1
5184333,Capitol Hill,39.73579,-104.98047,Entire home/apt,99.0,365,2
5302550,Congress Park,39.7319,-104.9528,Private room,75.0,57,3
5343759,Congress Park,39.73688,-104.94289,Private room,42.0,344,2
5364164,Washington Virginia Vale,39.69713,-104.92667,Entire home/apt,89.0,255,1
5379218,Hampden South,39.64721,-104.8867,Private room,200.0,365,2
5508545,Montclair,39.73839,-104.91961,Entire home/apt,115.0,120,2
5531293,Berkeley,39.78164,-105.038,Entire home/apt,91.0,238,4
5536068,CBD,39.74815,-104.99489,Entire home/apt,60.0,167,2
5558992,Lincoln Park,39.72979,-104.99557,Entire home/apt,75.0,339,1
5600653,CBD,39.74634,-104.99678,Entire home/apt,78.0,213,16
5600766,CBD,39.74634,-104.99678,Entire home/apt,78.0,68,16
5691532,CBD,39.74634,-104.99678,Entire home/apt,58.0,44,16
5691878,CBD,39.74634,-104.99678,Entire home/apt,58.0,163,16
5717755,Jefferson Park,39.75182,-105.02219,Entire home/apt,295.0,173,1
5746214,South Park Hill,39.7483,-104.91471,Private room,78.0,158,1
5794938,North Capitol Hill,39.74326,-104.98088,Entire home/apt,131.0,172,1
5931452,CBD,39.74634,-104.99678,Entire home/apt,68.0,122,16
5946059,CBD,39.74634,-104.99678,Entire home/apt,53.0,90,16
5966633,Speer,39.71396,-104.97608,Entire home/apt,92.0,348,2
5968656,West Highland,39.76336,-105.02808,Entire home/apt,320.0,125,1
6065081,Speer,39.71913,-104.982,Entire home/apt,139.0,362,1
6141491,Washington Virginia Vale,39.6992,-104.92515,Entire home/apt,179.0,365,3
6300806,Cole,39.76558,-104.96109,Private room,65.0,364,2
6333040,Five Points,39.76154,-104.9741,Entire home/apt,185.0,275,1
6348993,Sunnyside,39.77037,-105.0135,Private room,65.0,85,1
6349335,Regis,39.78471,-105.0361,Entire home/apt,236.0,301,1
6373869,Capitol Hill,39.73487,-104.98141,Private room,89.0,48,2
6374807,Capitol Hill,39.73532,-104.9832,Entire home/apt,276.0,353,2
6416196,North Capitol Hill,39.74572,-104.98319,Entire home/apt,280.0,211,1
6445171,Berkeley,39.77063,-105.03731,Private room,42.0,364,1
6678066,Five Points,39.75021,-104.97909,Entire home/apt,233.0,263,1
6701936,Cole,39.76213,-104.9638,Private room,52.0,346,2
6730800,Baker,39.71819,-104.99031,Entire home/apt,111.0,336,1
6796745,Five Points,39.75255,-104.98133,Entire home/apt,280.0,89,1
6954236,Stapleton,39.75684,-104.85525,Entire home/apt,165.0,365,2
7071425,Rosedale,39.67107,-104.9856,Entire home/apt,139.0,124,3
7091323,Washington Virginia Vale,39.70989,-104.91529,Entire home/apt,79.0,169,1
7181062,West Highland,39.76364,-105.04251,Private room,119.0,364,1
7198718,Washington Park,39.70402,-104.9657,Entire home/apt,135.0,317,2
7228382,Five Points,39.7542399,-104.9913709,Entire home/apt,1205.0,318,3
7277958,West Colfax,39.7354774,-105.0368387,Entire home/apt,125.0,362,1
7336200,Congress Park,39.73125,-104.94141,Entire home/apt,100.0,365,1
7349270,North Park Hill,39.75475,-104.91763,Entire home/apt,135.0,90,1
7557038,North Capitol Hill,39.7442,-104.97685,Entire home/apt,90.0,149,1
7577128,Five Points,39.76267,-104.97346,Entire home/apt,258.0,143,1
7584529,Cole,39.76839,-104.96089,Private room,54.0,199,2
7776227,Wellshire,39.65685,-104.95886,Entire home/apt,90.0,343,1
7780920,Goldsmith,39.6687,-104.91498,Entire home/apt,297.0,365,2
7789164,Lincoln Park,39.72622,-104.99535,Entire home/apt,135.0,316,1
7826191,Five Points,39.76765,-104.97513,Entire home/apt,336.0,359,1
7931953,Highland,39.76082,-105.01858,Entire home/apt,90.0,347,1
7948813,Sloan Lake,39.7561,-105.04096,Entire home/apt,145.0,33,1
8026291,University,39.679604,-104.966057,Private room,89.0,146,2
8071897,Whittier,39.7523,-104.96948,Entire home/apt,91.0,169,1
8086875,Highland,39.76714,-105.0075,Entire home/apt,286.0,333,1
8117043,Rosedale,39.6715,-104.98542,Entire home/apt,135.0,191,3
8213634,Highland,39.76399,-105.02294,Entire home/apt,95.0,244,1
8267327,Gateway - Green Valley Ranch,39.78201,-104.75561,Entire home/apt,107.0,293,1
8352843,Speer,39.71579,-104.98551,Entire home/apt,134.0,120,1
8356699,Capitol Hill,39.728,-104.97438,Entire home/apt,90.0,245,1
8366762,Capitol Hill,39.73786,-104.97922,Entire home/apt,80.0,212,1
8482535,Hampden South,39.63496,-104.88586,Entire home/apt,350.0,359,2
8500786,West Highland,39.76234817504883,-105.03081512451172,Entire home/apt,277.0,360,1
8556263,Highland,39.76272,-105.00863,Entire home/apt,469.0,318,1
8566977,Washington Park West,39.7077,-104.98016,Entire home/apt,135.0,348,1
8623055,Sloan Lake,39.75025,-105.03872,Private room,650.0,350,2
8627368,Congress Park,39.73525,-104.94217,Private room,45.0,153,2
8649742,CBD,39.74661,-104.99564,Private room,105.0,97,2
8650761,Speer,39.71503,-104.98399,Entire home/apt,234.0,13,1
8671797,Whittier,39.751,-104.96985,Entire home/apt,126.0,365,1
8680784,Whittier,39.76058,-104.96832,Entire home/apt,48.0,179,2
8682809,Whittier,39.75183,-104.96774,Entire home/apt,95.0,68,1
8718728,Northeast Park Hill,39.7637,-104.93342,Private room,63.0,112,1
8797683,Sloan Lake,39.74712,-105.03738,Entire home/apt,129.0,87,1
8800911,Speer,39.72468,-104.98086,Entire home/apt,466.0,355,2
8860548,Capitol Hill,39.73377,-104.9834,Entire home/apt,130.0,31,3
8941796,Sloan Lake,39.7514,-105.02889,Entire home/apt,100.0,247,1
8951180,Sloan Lake,39.75513,-105.02931,Entire home/apt,185.0,115,1
9009513,Highland,39.76577,-105.01718,Entire home/apt,115.0,176,1
9032492,Stapleton,39.75373,-104.8956,Entire home/apt,142.0,265,1
9108143,Five Points,39.75894,-104.98035,Entire home/apt,85.0,112,2
9153971,North Capitol Hill,39.74368,-104.97748,Entire home/apt,339.0,88,1
9154399,Union Station,39.75097,-105.00339,Entire home/apt,133.0,87,1
9173434,North Park Hill,39.75939,-104.92581,Entire home/apt,195.0,236,9
9428199,Five Points,39.75384,-104.99209,Hotel room,127.0,341,15
9433028,Whittier,39.76085,-104.96986,Entire home/apt,46.0,305,2
9520316,Highland,39.76541,-105.01944,Entire home/apt,100.0,360,1
9548317,University Park,39.67095,-104.94352,Entire home/apt,1095.0,349,2
9633450,Jefferson Park,39.75527,-105.02229,Entire home/apt,246.0,58,1
9797489,South Park Hill,39.74484,-104.93313,Entire home/apt,342.0,157,1
10061459,Barnum West,39.72107,-105.04155,Entire home/apt,71.0,356,1
10102030,Congress Park,39.73903,-104.94674,Entire home/apt,97.0,166,1
10161676,Virginia Village,39.69243,-104.92642,Entire home/apt,172.0,353,1
10237203,Congress Park,39.73206,-104.94797,Entire home/apt,77.0,362,1
10266757,Five Points,39.75363,-104.9748,Entire home/apt,105.0,338,1
10341836,CBD,39.74726,-104.99636,Entire home/apt,130.0,89,1
10343072,Highland,39.76798,-105.0111,Entire home/apt,86.0,1,1
10363495,Highland,39.76484,-105.01875,Entire home/apt,120.0,165,1
10401469,Capitol Hill,39.72819,-104.97931,Private room,75.0,180,1
10747925,Capitol Hill,39.73721,-104.97411,Entire home/apt,222.0,361,1
10927209,Five Points,39.75207,-104.99127,Hotel room,121.0,332,15
10927966,Five Points,39.75227,-104.99118,Shared room,40.0,364,15
10946289,Baker,39.71456,-104.98899,Entire home/apt,99.0,87,2
10995273,Cole,39.76911,-104.96646,Entire home/apt,137.0,109,2
11037671,Sloan Lake,39.75716,-105.05302,Entire home/apt,103.0,119,3
11065664,Hilltop,39.72209548950195,-104.90826416015624,Private room,65.0,365,2
11105109,Barnum,39.720222,-105.026703,Entire home/apt,71.0,241,1
11123088,Sloan Lake,39.75681,-105.02667,Entire home/apt,84.0,333,1
11127739,Berkeley,39.77147,-105.04336,Private room,83.0,364,1
11145675,Rosedale,39.66978,-104.98136,Entire home/apt,157.0,304,1
11260552,Berkeley,39.77173,-105.04593,Entire home/apt,300.0,358,1
11295273,Capitol Hill,39.73256,-104.97414,Entire home/apt,100.0,261,2
11338921,Five Points,39.75371,-104.98873,Entire home/apt,140.0,118,1
11370833,Highland,39.76515,-105.01936,Entire home/apt,95.0,111,2
11377981,University Hills,39.65658,-104.92548,Private room,35.0,362,2
11420270,Five Points,39.76058,-104.97427,Entire home/apt,99.0,142,1
11469990,Speer,39.71347,-104.9809,Entire home/apt,149.0,365,1
11521979,Five Points,39.75688,-104.98418,Entire home/apt,132.0,169,1
11691732,Hilltop,39.71632,-104.93549,Private room,160.0,365,1
11789571,West Highland,39.76346,-105.03519,Entire home/apt,95.0,174,1
11904176,CBD,39.74634,-104.99678,Entire home/apt,58.0,61,16
11945010,Capitol Hill,39.73459,-104.97415,Entire home/apt,135.0,355,1
11984589,CBD,39.74634,-104.99678,Entire home/apt,58.0,97,16
12008338,Sunnyside,39.77538,-105.00235,Entire home/apt,113.0,358,1
12105336,Highland,39.76196,-105.01507,Entire home/apt,371.0,149,1
12128272,Whittier,39.75887,-104.96213,Entire home/apt,107.0,257,1
12169927,Highland,39.76645,-105.01507,Entire home/apt,121.0,255,1
12210358,West Colfax,39.7427,-105.04779,Entire home/apt,168.0,15,3
12365447,Five Points,39.75952,-104.97496,Entire home/apt,100.0,100,1
12425017,Clayton,39.76779,-104.95569,Private room,51.0,119,1
12454119,City Park,39.74241,-104.94511,Entire home/apt,93.0,158,2
12455228,Capitol Hill,39.73307,-104.97928,Entire home/apt,92.0,364,1
12487223,West Colfax,39.74251,-105.04699,Entire home/apt,164.0,144,3
12561648,Union Station,39.75694,-105.00527,Entire home/apt,90.0,87,1
12606455,Congress Park,39.72853,-104.95286,Entire home/apt,226.0,354,1
12626903,East Colfax,39.73626,-104.89839,Private room,40.0,362,2
12654017,Speer,39.71818,-104.98493,Entire home/apt,90.0,70,1
12681403,Union Station,39.74981,-104.99687,Entire home/apt,95.0,147,1
12686491,Hale,39.7329,-104.93796,Entire home/apt,90.0,364,3
12761180,Cheesman Park,39.73423,-104.96953,Entire home/apt,91.0,334,1
12765811,Cheesman Park,39.7374,-104.97069,Entire home/apt,76.0,179,3
12953524,Jefferson Park,39.75053,-105.02392,Entire home/apt,408.0,164,1
12972487,Virginia Village,39.68303,-104.92659,Entire home/apt,87.0,233,1
12990921,Jefferson Park,39.75555,-105.02172,Entire home/apt,131.0,22,1
12996773,Berkeley,39.77588,-105.02845,Private room,200.0,269,1
13066618,Ruby Hill,39.69414742125972,-105.0147161273514,Entire home/apt,90.0,56,1
13107091,Lowry Field,39.72203,-104.90203,Private room,70.0,335,1
13140326,Virginia Village,39.68788,-104.93711,Entire home/apt,140.0,300,4
13172589,Five Points,39.75376,-104.97509,Private room,54.0,180,1
