id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
360,Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,666,Jennifer & Giovanni,,Highland,39.766414642333984,-105.0020980834961,Entire home/apt,91,30,183,2024-08-18,2.35,2,179,3,2017-BFN-0002177
364,Lodo / RiNo LOFT  via airport train,783,Jason,,Five Points,39.76672,-104.97906,Entire home/apt,179,185,87,2016-04-26,0.46,1,358,0,
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75511,-104.91109,Private room,59,1,738,2024-10-11,3.85,2,146,16,2021-BFN-0000578
592,private,933,Jill,,North Park Hill,39.75481,-104.91106,Private room,58,2,180,2024-11-10,0.93,2,210,11,2021-BFN-0000578
1940,Baker Studio: Private-full kitchen-W/D-walkable,2150,Joanne,,Baker,39.72020510811656,-104.99749898910522,Entire home/apt,77,1,213,2024-12-28,2.20,1,243,57,2018-BFN-0002596
21745,Alexandra's King Bed Room Long-term Only,990,Alexandra,,North Capitol Hill,39.7449,-104.97711,Private room,45,30,237,2024-09-05,1.32,1,361,2,
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76179,-105.02845,Entire home/apt,99,5,177,2024-10-01,1.02,1,357,11,2020-BFN-0000193
39405,LoHi Secret Garden at Mulberry at Denver Cottages,666,Jennifer & Giovanni,,Highland,39.76605337851223,-105.00307815462764,Entire home/apt,124,1,727,2024-11-17,4.15,2,166,50,2022-BFN-0010458
90307,Comfy King Bed (Park Hill),489506,Doreen,,South Park Hill,39.7495,-104.93362,Private room,90,1,286,2024-11-24,1.81,3,42,14,2023-BFN-0046364
154999,Midland Lofts 209: In the Heart of Downtown,745200,Susan,,CBD,39.74439,-104.98927,Entire home/apt,73,30,13,2024-12-09,0.08,4,290,2,
192430,Treetop View Room East City Park 1-2 months,923646,Kate,,South Park Hill,39.7435,-104.93753,Private room,36,29,134,2024-07-27,0.82,1,177,3,
364585,Washington Park Stunning Townhouse,930851,Nicholas,,Washington Park West,39.69845,-104.98073,Entire home/apt,165,29,144,2024-08-14,0.92,1,90,3,
370209,Private room in the nest - w/bathroom,269892,Maura,,Baker,39.7172,-104.99767,Private room,75,29,187,2024-11-17,1.62,2,304,39,2017-BFN-0008931
477016,Private room In the heart of Denver,10951,Tricia,,City Park West,39.74348,-104.97089,Private room,56,2,426,2024-10-20,2.80,1,143,22,2019-BFN-0009249
504080,Creative Haven in Artist’s Abode,2370964,Andrea,,Clayton,39.76574,-104.95379,Entire home/apt,115,3,97,2024-12-03,0.64,1,162,8,2017-BFN-0001679
575758,a REAL warehouse LOFT,2832150,Kerry,,Five Points,39.76561,-104.97945,Entire home/apt,200,180,37,2017-01-09,0.28,1,365,0,
632709,1890 townhome in popular LoHi! 2018-BFN-0009355,2157095,Valerie,,Highland,39.76468,-105.00883,Entire home/apt,143,29,154,2020-03-13,1.10,1,173,0,
676825,Beautiful Home in Charming Location,3440535,Krista,,Stapleton,39.75706,-104.88374,Entire home/apt,213,4,233,2024-12-28,1.56,1,110,26,2016-BFN-0007545
715123,Neighborhood Gem! Entire Place -Stylish Platt Park,3654159,Dave & Lisa,,Platt Park,39.69381,-104.98364,Entire home/apt,140,3,143,2024-12-07,3.06,1,28,26,2021-BFN-0000478
732845,"RiNo Breweries, Food, Music & Art just steps away!",3816358,John,,Five Points,39.759,-104.98106,Entire home/apt,513,2,198,2024-11-19,1.33,1,251,9,2017-BFN-0000827
746298,Urban Retreat with Private Bath,3915386,Mary,,Lowry Field,39.72535,-104.89616,Private room,68,30,91,2024-06-10,0.77,1,83,2,2016-BFN-0008025
756594,Private lower level 2 bedroom suite,3638426,Ling & Chris,,South Park Hill,39.74027,-104.91516,Entire home/apt,75,29,429,2024-12-12,2.96,1,346,29,2016-BFN-0008363
761858,2 Bedrooms - 2 King Size Beds (Park Hill),489506,Doreen,,North Park Hill,39.75132,-104.93423,Private room,180,1,22,2023-05-15,0.15,3,88,0,2023-BFN-0046364
774712,"ZEN! book, warm and cozy, 5% off 3rd Mo no smoking",4087056,Jeanne,,City Park West,39.74245,-104.9681,Entire home/apt,53,30,40,2024-10-25,0.27,6,291,2,
776434,Super-comfortable Modern Home 3 Bdr -Platt Park DU,3344763,Steve,,Platt Park,39.68403,-104.98296,Entire home/apt,200,3,109,2024-06-17,0.75,3,325,3,2023-BFN-0012138
785140,Cozy Bungalow in Quiet and Serene Neighborhood,306623,Erika,,Sunnyside,39.78097,-105.01723,Entire home/apt,85,29,61,2021-10-24,0.45,2,144,0,2017-BFN-0001461
915016,Cozy Capitol Hill Accommodation,4911774,Tim And Cindy,,Capitol Hill,39.73572,-104.97795,Entire home/apt,85,30,332,2024-08-31,2.36,1,327,5,2020-BFN-0000493
921485,Stylish & Historic LoHi Loft w/ Views and Parking,3378084,Alexandra,,Highland,39.75838,-105.01479,Entire home/apt,100,29,71,2024-11-23,0.50,2,325,3,
953052,Congress Park Cottage,5173501,Steve,,Congress Park,39.7325,-104.94919,Entire home/apt,100,30,3,2023-06-18,0.03,1,365,0,
958612,DENVER SUITE MOUNTAIN VIEW GREAT LOCATION,5216325,Julia,,CBD,39.74646,-104.99688,Entire home/apt,89,180,12,2022-06-02,0.09,7,209,0,
1041934,"Private apt in Berkeley, MTN Views!",5811115,Annette,,Berkeley,39.78027,-105.03808,Entire home/apt,165,30,40,2024-06-25,0.29,4,365,2,
1042331,Beautiful Apt in Berkeley/Highlands,5811115,Annette,,Berkeley,39.77983,-105.03936,Entire home/apt,145,30,51,2024-06-10,0.36,4,223,2,
